Metric,Value
timing__setup_r2r_vio__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count__corner:max_ss_100C_1v60,5
timing__unannotated_net_filtered__count__corner:max_ss_100C_1v60,0
timing__unannotated_net__count,5
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:vccd1__corner:nom_tt_025C_1v80,-2215760
design_powergrid__drop__average__net:vccd1__corner:nom_tt_025C_1v80,-361.91
design_powergrid__drop__worst__net:vccd1__corner:nom_tt_025C_1v80,2215770
design_powergrid__voltage__worst__net:vssd1__corner:nom_tt_025C_1v80,2215770
design_powergrid__drop__average__net:vssd1__corner:nom_tt_025C_1v80,360.929
design_powergrid__drop__worst__net:vssd1__corner:nom_tt_025C_1v80,2215770
design_powergrid__voltage__worst,-2215760
design_powergrid__voltage__worst__net:vccd1,-2215760
design_powergrid__drop__worst,2215770
design_powergrid__drop__worst__net:vccd1,2215770
design_powergrid__voltage__worst__net:vssd1,2215770
design_powergrid__drop__worst__net:vssd1,2215770
ir__voltage__worst,-2220000
ir__drop__avg,364
ir__drop__worst,2220000
design__xor_difference__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
